GEOID,INTPTLAT,INTPTLON,rpe_1d_1y
2300373472,47.0019599,-68.3574187,1688.1033412879196
2301710005,44.4905874,-70.2945474,2109.470506630007
2301717250,43.9962093,-70.8137373,2238.7612918921177
2301717740,44.5335462,-70.3949586,2081.1588478616377
2301726910,44.0432475,-70.934046,2209.0350798924924
2300378570,47.1806753,-68.0083223,1655.6379279200014
2300379270,46.7957744,-68.248643,1705.0070719600003
2301729710,44.3457921,-70.6557008,2055.472451714882
2301731110,44.4944998,-70.7344211,1927.9676474435637
2300702235,44.7770108,-70.3079872,2001.376591741097
2300716165,44.9818595,-70.5915028,1753.2271038114293
2300719865,44.9733646,-70.3237645,1857.074279682393
2300724005,45.1815349,-70.5079502,1720.807763902339
2300724775,44.6769355,-70.1414906,2061.2820919099695
2300735625,44.5168965,-70.2021867,2111.944839919999
2301159110,44.1795084,-69.7039223,2164.935623817348
2301163835,44.5705083,-69.8930861,2070.7093359907394
2301178190,44.6289184,-69.428881,2077.093863887819
2301178745,44.4293349,-69.6482941,2080.9596239200005
2301732370,44.2092568,-70.3888783,2158.6129718908005
2301739422,44.9511887,-70.9838118,1709.35649183222
2301742835,44.8236917,-70.9789926,1731.6569959600008
2301745285,44.5530984,-70.4952597,2034.8481234775875
2301749275,44.520279,-70.8563486,1877.3991197599973
2302547455,45.1364737,-69.8759575,1947.5091356984144
2302551114,45.472133,-69.8808213,1784.645483929225
2302582840,45.3833246,-69.9992412,1801.7980524617806
2300749345,44.6502006,-70.0003097,2061.2075073011765
2300749520,44.7985679,-70.0967568,2014.9047398498953
2300761875,44.8675524,-70.6840327,1774.429363795144
2300774825,44.786174,-70.2085555,2009.7955997999973
2301179025,44.5548193,-69.9996825,2087.3052679504103
2301180740,44.5452848,-69.6613961,2062.1895723622793
2301186165,44.3154846,-69.571186,2127.840903816528
2301186515,44.5238496,-69.5771791,2073.1150638965623
2301756310,44.1449377,-70.4732155,2169.0365678510616
2301758270,44.4609146,-70.4519225,2088.1093438219905
2301760405,43.8378976,-70.9465682,2219.955320572682
2301764290,44.5599203,-70.6252639,1947.72489439737
2301704825,44.4444489,-70.7497897,1957.5724996757656
2301104475,44.5908175,-69.5179441,2075.9486079280978
2301161700,44.2372862,-69.7512474,2138.410611478681
2301774510,44.2630583,-70.8754774,2111.531027720001
2302100100,45.1928466,-69.4941931,2021.0752238799998
2302376960,43.9649766,-69.9556237,2231.2313056564262
2301182945,44.224584,-69.8755116,2131.7911192368824
2301140175,44.172142,-69.9345002,2144.685919920001
2301147770,44.4664885,-69.9604504,2097.2754279905307
2301756625,44.2480012,-70.4908157,2138.081827891116
2302168140,45.3580396,-69.6302919,1904.2711557053399
2302137970,45.3717914,-68.8811743,1983.5568455303412
2302900660,45.0855964,-67.4755059,2162.4568639200006
2302903810,44.8137055,-68.0177163,2187.458767846885
2302916865,44.7267605,-67.9846151,2225.55859580668
2302944760,45.0485294,-67.3553452,2168.398698562022
2302957082,45.2898668,-67.6193498,2100.1985135407726
2302985290,44.7571515,-67.5398967,2289.736905749769
